tau_p_design,scheme,p5_se,mean_se,mean_tau_p_actual,mean_ee
1,GC (Liu),1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,Gao matching,1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,Hybrid#3 (TopAP N=8 adaptive),1.2469226770350017,5.6777306881815,7.84,1.714950264643918
1,Hybrid#4 (TopAP+greedy),1.223227484069192,5.9186477135194355,1.0,1.7023136521575757
1,MJH beam-resource matching,1.2801919358462117,5.826640186174746,4.35,2.2442499353960113
1,MJH weighted-count default,1.2459648294017227,5.727277424633774,6.87,2.2060053738635554
1,MJH weighted-count strict,1.2677244162788304,5.861505492311909,3.17,2.257646687432569
1,MJH weighted-power,1.2459648294017227,5.727277424633774,6.87,2.2060053738635554
1,Mussbah,1.2459648294017227,5.727277424633774,6.87,2.2060053738635554
1,Random,1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,Structured (Chen),1.223227484069192,5.9186477135194355,1.0,1.5853520661212774
1,TopAP (bisect),1.223227484069192,5.9186477135194355,1.0,3.4144878787467183
2,GC (Liu),1.3098255009480042,5.818415440432173,2.0,1.5585041358300467
2,Gao matching,1.3154609075190704,5.8219869863244815,2.0,1.5594607999083436
2,Hybrid#3 (TopAP N=8 adaptive),1.3025484895504542,5.601771143625677,7.89,1.7035155421400936
2,Hybrid#4 (TopAP+greedy),1.3121017745327455,5.823553018874822,2.0,1.6781541978683134
2,MJH beam-resource matching,1.3196534137004476,5.744369106374203,4.38,2.220364002898787
2,MJH weighted-count default,1.315754348800505,5.636774491577787,7.06,2.178865157066352
2,MJH weighted-count strict,1.3331460836536695,5.782948826945734,3.24,2.2353697040268456
2,MJH weighted-power,1.315754348800505,5.636774491577787,7.06,2.178865157066352
2,Mussbah,1.315754348800505,5.636774491577787,7.06,2.178865157066352
2,Random,1.3104430901213124,5.814003734368011,2.0,1.5573224288485747
2,Structured (Chen),1.3198962126310239,5.823642197981296,2.0,1.5599041601735615
2,TopAP (bisect),1.3174407167001694,5.820568022157805,2.0,3.3803559468973488
3,GC (Liu),1.3017576288297856,5.781077435952966,3.0,1.5485028846302589
3,Gao matching,1.3007165242862198,5.784625094637354,3.0,1.5494531503492917
3,Hybrid#3 (TopAP N=8 adaptive),1.2785000180377148,5.598425783527254,7.98,1.6990696971138552
3,Hybrid#4 (TopAP+greedy),1.3049153331400656,5.786655645551324,3.0,1.6652843018256014
3,MJH beam-resource matching,1.3134496422598632,5.739666321562853,4.4,2.217931548003354
3,MJH weighted-count default,1.2697259899876145,5.637545168985855,6.99,2.1784880282165062
3,MJH weighted-count strict,1.2846380819292051,5.773974997786883,3.22,2.231214712080396
3,MJH weighted-power,1.2697259899876145,5.637545168985855,6.99,2.1784880282165062
3,Mussbah,1.2697259899876145,5.637545168985855,6.99,2.1784880282165062
3,Random,1.297631065031926,5.777149129051484,3.0,1.5474506595673623
3,Structured (Chen),1.2942451214973965,5.784669209769077,3.0,1.5494649669024319
3,TopAP (bisect),1.3046126086785568,5.783767659365136,3.0,3.1966020401012396
5,GC (Liu),1.1633247902902262,5.677511561969474,5.0,1.5207620255275378
5,Gao matching,1.1592484492334665,5.6792010203043874,5.0,1.5212145590101043
5,Hybrid#3 (TopAP N=8 adaptive),1.180101037741599,5.5786148643180695,7.87,1.6978554038850517
5,Hybrid#4 (TopAP+greedy),1.1665032465359895,5.680405872849799,5.0,1.6407289565261827
5,MJH beam-resource matching,1.194558485050689,5.7023301698686915,4.46,2.206920231631308
5,MJH weighted-count default,1.1750583606915685,5.610600807511338,6.94,2.1714190133546016
5,MJH weighted-count strict,1.1846647642116317,5.750784431427002,3.11,2.2257344544792774
5,MJH weighted-power,1.1750583606915685,5.610600807511338,6.94,2.1714190133546016
5,Mussbah,1.1750583606915685,5.610600807511338,6.94,2.1714190133546016
5,Random,1.1584544090428397,5.674731206568134,5.0,1.5200172874736078
5,Structured (Chen),1.172814674738729,5.679048872480195,5.0,1.5211738051286239
5,TopAP (bisect),1.1611943606281847,5.679607908380472,5.0,2.186898249573459
7,GC (Liu),1.2388289151461016,5.758486559967744,7.0,1.5424517571342173
7,Gao matching,1.2393486423060223,5.758011000291339,7.0,1.5423243750780378
7,Hybrid#3 (TopAP N=8 adaptive),1.2326842434364185,5.729137169491768,7.81,1.731083890703954
7,Hybrid#4 (TopAP+greedy),1.2473860265690464,5.759934682648738,7.0,1.650968686363192
7,MJH beam-resource matching,1.2902358140386778,5.861525341291808,4.46,2.255572529971589
7,MJH weighted-count default,1.2573562308964212,5.761132772726028,6.96,2.2167659410466105
7,MJH weighted-count strict,1.2437253328472209,5.902965964456936,3.12,2.2715009320137174
7,MJH weighted-power,1.2573562308964212,5.761132772726028,6.96,2.2167659410466105
7,Mussbah,1.2573562308964212,5.761132772726028,6.96,2.2167659410466105
7,Random,1.2341164261287356,5.756118868365085,7.0,1.5418175540263623
7,Structured (Chen),1.2413953110808809,5.759767142677453,7.0,1.5427947703600324
7,TopAP (bisect),1.2439135407787116,5.759494879640727,7.0,1.8051992480542154
9,GC (Liu),1.2630485703685812,5.642415882284772,9.0,1.511361397040564
9,Gao matching,1.2678427751559609,5.6419065172291,9.0,1.5112249599720806
9,Hybrid#3 (TopAP N=8 adaptive),1.269000658466255,5.689287434076715,7.82,1.7223433372055625
9,Hybrid#4 (TopAP+greedy),1.2639957950080276,5.6427748016693,9.0,1.624106084649834
9,MJH beam-resource matching,1.2953293847293232,5.822918040790158,4.34,2.2453328759535447
9,MJH weighted-count default,1.2829550640481846,5.721385038438242,6.93,2.2061433959185983
9,MJH weighted-count strict,1.2900891990294032,5.866515686334795,3.17,2.2620293580463575
9,MJH weighted-power,1.2829550640481846,5.721385038438242,6.93,2.2061433959185983
9,Mussbah,1.2829550640481846,5.721385038438242,6.93,2.2061433959185983
9,Random,1.266942307249409,5.638376977456268,9.0,1.510279547532929
9,Structured (Chen),1.2631163131449836,5.6425198587052945,8.99,1.5113892478674902
9,TopAP (bisect),1.2668046960289343,5.642675341679288,9.0,1.6465522045145315
11,GC (Liu),1.2150154021238033,5.545819557775333,11.0,1.4854873815469645
11,Gao matching,1.2041998746669202,5.545472212156789,11.0,1.4853943425419973
11,Hybrid#3 (TopAP N=8 adaptive),1.236686944597553,5.678350344644021,7.75,1.716087319690869
11,Hybrid#4 (TopAP+greedy),1.2138982692335525,5.546026309642837,11.0,1.5938109364431055
11,MJH beam-resource matching,1.2509298559017226,5.802099606708184,4.44,2.2367962866785556
11,MJH weighted-count default,1.2497350762749748,5.713432589597845,6.92,2.2025815459062787
11,MJH weighted-count strict,1.248179818295115,5.855284422535167,3.19,2.2573106156193945
11,MJH weighted-power,1.2497350762749748,5.713432589597845,6.92,2.2025815459062787
11,Mussbah,1.2497350762749748,5.713432589597845,6.92,2.2025815459062787
11,Random,1.2131163660379198,5.5428758051320335,10.99,1.484698876374652
11,Structured (Chen),1.21411569742933,5.546025837827571,11.0,1.4855426351323855
11,TopAP (bisect),1.211881634075613,5.546101487518127,11.0,1.5575730574238043
13,GC (Liu),1.1467449939771663,5.456388171032311,13.0,1.4615325458122266
13,Gao matching,1.1276887822422834,5.455597727709328,13.0,1.461320819922142
13,Hybrid#3 (TopAP N=8 adaptive),1.2014835946582831,5.658122629991833,7.8,1.7098803559532079
13,Hybrid#4 (TopAP+greedy),1.1483309417977312,5.4566807523934155,13.0,1.5652979170885144
13,MJH beam-resource matching,1.206375997486533,5.798904678192823,4.39,2.232626932153426
13,MJH weighted-count default,1.1954507190178798,5.697517315516371,6.93,2.193559647410861
13,MJH weighted-count strict,1.1861460380371809,5.83729266964433,3.14,2.247426911051114
13,MJH weighted-power,1.1954507190178798,5.697517315516371,6.93,2.193559647410861
13,Mussbah,1.1954507190178798,5.697517315516371,6.93,2.193559647410861
13,Random,1.1421059573166263,5.455263289702622,12.98,1.4612312383132027
13,Structured (Chen),1.1492383125448777,5.456619367277454,13.0,1.4615944733778894
13,TopAP (bisect),1.1440649999094583,5.45657361954804,13.0,1.5033207435751121
15,GC (Liu),1.1730578411527608,5.318436635203242,14.98,1.4245812415722972
15,Gao matching,1.1735281242746813,5.316282930412664,15.0,1.4240043563605354
15,Hybrid#3 (TopAP N=8 adaptive),1.2424622084595296,5.603282520925891,7.83,1.7028134853513546
15,Hybrid#4 (TopAP+greedy),1.1737009891158283,5.317395895637284,15.0,1.5320211434150528
15,MJH beam-resource matching,1.2899091607551167,5.730992569924137,4.43,2.2254202935762253
15,MJH weighted-count default,1.2182990656017312,5.63834970111567,6.9,2.1893812468091087
15,MJH weighted-count strict,1.2914087044847609,5.774727820494323,3.24,2.24239358484064
15,MJH weighted-power,1.2182990656017312,5.63834970111567,6.9,2.1893812468091087
15,Mussbah,1.2182990656017312,5.63834970111567,6.9,2.1893812468091087
15,Random,1.1744379788829138,5.314697544611793,14.95,1.4235796994495873
15,Structured (Chen),1.1778297590832163,5.318097572837371,14.98,1.4244904212957246
15,TopAP (bisect),1.1733219302150355,5.3230450311304685,14.91,1.453193965950581
18,GC (Liu),1.1058849736844614,5.249730272212349,17.97,1.406177751485451
18,Gao matching,1.1050294060911734,5.247338180935341,18.0,1.4055370127505382
18,Hybrid#3 (TopAP N=8 adaptive),1.184361154576631,5.656295897482787,7.8,1.7143749624964781
18,Hybrid#4 (TopAP+greedy),1.105984048254407,5.247742119610313,18.0,1.5063363067283595
18,MJH beam-resource matching,1.232614256560394,5.788060074537817,4.41,2.23790873313588
18,MJH weighted-count default,1.1856390946538682,5.6837448718692,6.91,2.1973350135778293
18,MJH weighted-count strict,1.2110256319462822,5.824702552772869,3.21,2.2521136122356884
18,MJH weighted-power,1.1856390946538682,5.6837448718692,6.91,2.1973350135778293
18,Mussbah,1.1856390946538682,5.6837448718692,6.91,2.1973350135778293
18,Random,1.085700962056335,5.245738769662853,17.94,1.405108599016836
18,Structured (Chen),1.1056919151178584,5.247721757866632,17.99,1.4056397565714198
18,TopAP (bisect),1.1064236901450555,5.248139774611644,17.99,1.416494068476203
22,GC (Liu),1.0936896892263117,5.079714403517958,21.97,1.3606377866565962
22,Gao matching,1.077452597299059,5.078526927449365,22.0,1.3603197127096516
22,Hybrid#3 (TopAP N=8 adaptive),1.2327599658762114,5.635829785928681,7.77,1.7097430921725318
22,Hybrid#4 (TopAP+greedy),1.0927594888967893,5.079228136702442,22.0,1.4638409288034304
22,MJH beam-resource matching,1.22190004336687,5.765474768612109,4.48,2.2304283373815204
22,MJH weighted-count default,1.2234219881527912,5.669559054968188,6.84,2.1933445057242835
22,MJH weighted-count strict,1.2082699141268318,5.806293560173991,3.22,2.24624072570089
22,MJH weighted-power,1.2234219881527912,5.669559054968188,6.84,2.1933445057242835
22,Mussbah,1.2234219881527912,5.669559054968188,6.84,2.1933445057242835
22,Random,1.0689023728334186,5.072373172787231,21.89,1.3586713855680086
22,Structured (Chen),1.0922827765786804,5.07899424634458,21.99,1.360444887413727
22,TopAP (bisect),1.07203706112394,5.0867459677228695,21.78,1.3665529103726033
